2.000000000000000000e+01 7.418982089395501411e+00
3.000000000000000000e+01 3.660757067561073441e+00
4.000000000000000000e+01 1.903448275862102301e+00
5.000000000000000000e+01 1.848833791979512586e+00
1.000000000000000000e+02 3.190212818779987636e+00
2.000000000000000000e+02 1.762864698920914241e+00
3.000000000000000000e+02 8.257657986096886837e-01
4.000000000000000000e+02 8.470613191401693554e-01
5.000000000000000000e+02 7.662190039152451115e-01
1.000000000000000000e+03 1.064578045153430796e+00
2.000000000000000000e+03 8.160012165387414695e-01
3.000000000000000000e+03 1.026667342104420788e+00
4.000000000000000000e+03 1.632323989942423559e+00
